number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.22036011803512628,2025-07-03 16:24:22.853331,2025-07-03 16:24:24.077436,0 days 00:00:01.224105,0.7055406335982025,4.348618778776062,0.22307862619896845,9,0.8460129274968753,500,4.219578151762523,0.9739651975718386,COMPLETE
1,0.2113257296949998,2025-07-03 16:24:24.094435,2025-07-03 16:24:25.678670,0 days 00:00:01.584235,0.6318577001021974,1.0991520627065743,0.0947350984168068,5,2.723513552924536,300,2.0715650765659905,0.5869978295691637,COMPLETE
2,0.21252435271181713,2025-07-03 16:24:25.691559,2025-07-03 16:24:27.544032,0 days 00:00:01.852473,0.9901444622561693,2.8167510309484483,0.06913950128155155,6,5.512731845634397,500,3.903532957266874,0.9019837693664143,COMPLETE
3,0.21581087048619943,2025-07-03 16:24:27.557322,2025-07-03 16:24:29.096507,0 days 00:00:01.539185,0.9455072400423956,4.6433701028343854,0.12367716267499312,8,1.210596877311776,600,2.8364098588793163,0.7877817825809366,COMPLETE
4,0.2131546203524141,2025-07-03 16:24:29.109722,2025-07-03 16:24:43.616365,0 days 00:00:14.506643,0.9526002760968768,0.5064833706335237,0.003470071397931104,6,5.5304606118284045,700,4.1579475107157435,0.8099327405569775,COMPLETE
5,0.21207177758040152,2025-07-03 16:24:43.627105,2025-07-03 16:24:44.821676,0 days 00:00:01.194571,0.5423091408205192,0.980015530327395,0.1508768566916238,4,2.130980098057825,900,4.76135204336934,0.8449270150123422,COMPLETE
6,0.21444281534174317,2025-07-03 16:24:44.834587,2025-07-03 16:24:58.575490,0 days 00:00:13.740903,0.6467786359637162,3.481103849800623,0.003926305557779378,7,0.6989302943776277,600,1.4867018096480251,0.5295527609354713,COMPLETE
7,0.22612894438102243,2025-07-03 16:24:58.589220,2025-07-03 16:25:30.539348,0 days 00:00:31.950128,0.9720488404659766,1.4979145512803183,0.0016336161388100295,9,6.473427268471332,900,1.6129031071158029,0.8849120688438916,COMPLETE
8,0.22236053170241124,2025-07-03 16:25:30.551011,2025-07-03 16:25:54.091033,0 days 00:00:23.540022,0.5645066804266222,3.3540193903775832,0.0018394632601563682,8,8.876803746861116,900,0.8752586063221829,0.5839036557243198,COMPLETE
9,0.24260203202240604,2025-07-03 16:25:54.102691,2025-07-03 16:26:22.793939,0 days 00:00:28.691248,0.5200401406175112,3.4858863091261916,0.0013452644507956936,10,3.2601178103057604,800,3.1915561406696242,0.751239852345756,COMPLETE
10,0.2090897695435882,2025-07-03 16:26:22.807063,2025-07-03 16:26:26.282654,0 days 00:00:03.475591,0.8429033704211649,1.841683178667723,0.022663530052277104,4,3.746163629987423,300,0.2562435780459378,0.636084188096227,COMPLETE
11,0.2091926535070452,2025-07-03 16:26:26.295990,2025-07-03 16:26:29.485078,0 days 00:00:03.189088,0.8242145249376358,1.6242073225484335,0.026324871664784994,4,3.6953009625002315,300,0.03480887643125943,0.6445540844156434,COMPLETE
12,0.20908110153796883,2025-07-03 16:26:29.497098,2025-07-03 16:26:33.745113,0 days 00:00:04.248015,0.8496171077713075,2.092433875822892,0.018858981562472215,4,4.308082067248617,300,0.06867791794984984,0.6643226915701169,COMPLETE
13,0.21005025338995528,2025-07-03 16:26:33.756924,2025-07-03 16:26:39.410901,0 days 00:00:05.653977,0.834940810593354,1.9662059527930744,0.013798050050704072,5,7.707609236957924,400,0.07621592614355338,0.6906018555094375,COMPLETE
14,0.2092651192730125,2025-07-03 16:26:39.423724,2025-07-03 16:26:44.213284,0 days 00:00:04.789560,0.8311575231854944,2.382421640177723,0.015378523591410159,4,4.171748323203761,400,0.8721191564409259,0.6956937161925236,COMPLETE
15,0.2098052046106614,2025-07-03 16:26:44.227202,2025-07-03 16:26:46.817822,0 days 00:00:02.590620,0.896834315770179,2.513633763461437,0.03749635971931295,5,4.6865828635874065,300,0.7635037197844414,0.506031197971973,COMPLETE
16,0.2116351423542628,2025-07-03 16:26:46.829431,2025-07-03 16:26:55.806819,0 days 00:00:08.977388,0.7753536714408485,0.038752329489202264,0.007949680720771108,6,6.8003083652704355,400,0.467600304983639,0.6595652931287708,COMPLETE
17,0.20972679744941056,2025-07-03 16:26:55.818372,2025-07-03 16:26:58.252277,0 days 00:00:02.433905,0.8899274826018208,2.0903268686686656,0.044092484630271156,4,2.1692623718600554,400,1.3332974793394763,0.607470995879091,COMPLETE
18,0.21034124662558532,2025-07-03 16:26:58.266820,2025-07-03 16:27:07.131444,0 days 00:00:08.864624,0.7497317996720938,3.0654861982489567,0.008253528731411722,5,9.942125751445158,500,2.2198253649029454,0.7305879331491772,COMPLETE
19,0.21293603780203563,2025-07-03 16:27:07.143388,2025-07-03 16:27:11.584090,0 days 00:00:04.440702,0.8929335667531907,4.070449196374627,0.02369264100668408,7,4.763693232028958,1000,0.36336033861592965,0.5505600538546935,COMPLETE
20,0.21103061281015104,2025-07-03 16:27:11.597270,2025-07-03 16:27:19.644425,0 days 00:00:08.047155,0.7720263860808527,1.464653462696633,0.011148959731253913,6,6.400645185332886,700,1.1736070950104212,0.6381766432132426,COMPLETE
21,0.20958815016118704,2025-07-03 16:27:19.656207,2025-07-03 16:27:22.227049,0 days 00:00:02.570842,0.8244027911279186,1.740446812262365,0.03444281025157263,4,3.62602849230635,300,0.2362421523253435,0.6607458809678252,COMPLETE
22,0.20931049107555433,2025-07-03 16:27:22.240112,2025-07-03 16:27:25.296850,0 days 00:00:03.056738,0.8578076435704544,0.8966226404585909,0.02432917491804876,4,3.846504708990746,300,0.040649208731414095,0.7256863911335154,COMPLETE
23,0.21090005612940108,2025-07-03 16:27:25.308401,2025-07-03 16:27:27.561446,0 days 00:00:02.253045,0.7202021149050126,2.211731058741287,0.05099123033804112,5,2.7312789597626477,300,0.6564084888274019,0.6237884817525642,COMPLETE
24,0.20955514061893063,2025-07-03 16:27:27.573758,2025-07-03 16:27:30.973009,0 days 00:00:03.399251,0.8029522486315307,1.513190055111714,0.023916942712540582,4,5.412382075524027,400,0.017872164738572373,0.5655518972402487,COMPLETE
25,0.2111064446258393,2025-07-03 16:27:30.988721,2025-07-03 16:27:40.683060,0 days 00:00:09.694339,0.9193173212625383,2.7627182056010153,0.0053554516849384365,5,1.8736111579614692,500,1.927966967392701,0.6881292961873553,COMPLETE
26,0.20934130589683747,2025-07-03 16:27:40.696813,2025-07-03 16:27:44.887653,0 days 00:00:04.190840,0.869392354289468,0.4689623896892292,0.018678487871756,4,4.396120198072974,300,1.0655152860478565,0.7669727264257469,COMPLETE
27,0.2104280996678752,2025-07-03 16:27:44.898906,2025-07-03 16:27:46.729606,0 days 00:00:01.830700,0.7998038644137714,1.8206192600452318,0.06805931021214266,5,0.12299872988468286,400,0.4317591748054146,0.6450570756329859,COMPLETE
28,0.21068946949715256,2025-07-03 16:27:46.743498,2025-07-03 16:27:51.868809,0 days 00:00:05.125311,0.7126317624946136,1.157324758678104,0.009152643248177652,4,2.926559612246121,300,1.7333504729693296,0.6067613835350194,COMPLETE
29,0.2118009889654092,2025-07-03 16:27:51.879737,2025-07-03 16:27:55.333263,0 days 00:00:03.453526,0.665711346429275,2.4156518765531314,0.028881946367257032,6,3.6369692299594396,500,3.352061637959662,0.7110001374065658,COMPLETE
30,0.21416371834397874,2025-07-03 18:08:13.186990,2025-07-03 18:08:14.897892,0 days 00:00:01.710902,0.7524065421809563,3.812427650949937,0.18812898626756533,8,7.278870710639996,600,0.519058689362145,0.5413176309183124,COMPLETE
31,0.21030250090512367,2025-07-03 18:08:14.915419,2025-07-03 18:08:16.238819,0 days 00:00:01.323400,0.8319814120607898,2.424941157790886,0.29503135711496364,4,4.341755567272722,400,0.8798281064118257,0.6794907952620236,COMPLETE
32,0.20778525001724993,2025-07-03 18:08:16.252259,2025-07-03 18:08:22.089579,0 days 00:00:05.837320,0.8659690419027274,2.1888927171422337,0.015804704867439994,4,4.1935572069285945,300,0.6880408368756581,0.9885668717366809,COMPLETE
33,0.20876825155771914,2025-07-03 18:08:22.104700,2025-07-03 18:08:27.826726,0 days 00:00:05.722026,0.9277236729372531,2.7604831700886496,0.017839700456642887,5,5.087475892312771,300,0.31641296436750443,0.984917843556943,COMPLETE
34,0.20877908267086873,2025-07-03 18:08:27.839061,2025-07-03 18:08:33.863238,0 days 00:00:06.024177,0.9217897558222515,2.8941196948476273,0.016163848052210543,5,5.845006334736289,300,1.1910448103881455,0.9960727407824186,COMPLETE
35,0.2124395491362885,2025-07-03 18:08:33.880215,2025-07-03 18:08:43.264393,0 days 00:00:09.384178,0.9323384683465873,2.7901585533981255,0.005425964797760964,5,5.8228987962918115,400,2.38605057274159,0.9911794262899749,COMPLETE
36,0.21101847613151672,2025-07-03 18:08:43.276819,2025-07-03 18:08:51.057947,0 days 00:00:07.781128,0.9912657497880828,3.096454535354102,0.012377692977583264,6,5.311783836163086,500,1.3179686093436451,0.943912663818889,COMPLETE
37,0.20961443675637212,2025-07-03 18:08:51.072446,2025-07-03 18:08:52.841675,0 days 00:00:01.769229,0.95898302188268,3.0448836281579097,0.09041381972834364,5,5.891357254584336,300,2.7668586258854857,0.9607531836707288,COMPLETE
38,0.2113492532064656,2025-07-03 18:08:52.856327,2025-07-03 18:08:58.904827,0 days 00:00:06.048500,0.9176605213836024,4.315380953627924,0.018575621293007136,7,5.1327288816169485,400,1.1159411250868523,0.9282076517795437,COMPLETE
39,0.2087030656527039,2025-07-03 18:08:58.920590,2025-07-03 18:09:12.328747,0 days 00:00:13.408157,0.8751395555815544,2.6254661805923645,0.00631931058251252,5,8.145336529548867,700,0.5868441911402421,0.8556254582295763,COMPLETE
40,0.21070298651385538,2025-07-03 18:09:12.343320,2025-07-03 18:09:29.585774,0 days 00:00:17.242454,0.9682435848101814,3.726878606843777,0.005560093440072576,6,8.306603395432102,700,1.7441611719325856,0.8714377978835337,COMPLETE
41,0.2166601471577258,2025-07-03 18:09:29.597827,2025-07-03 18:09:42.894223,0 days 00:00:13.296396,0.8720210816185303,2.6619979587539246,0.0029104765031921077,5,9.255093944209278,600,0.6263489056094393,0.9931335795636711,COMPLETE
42,0.2086697286469029,2025-07-03 18:09:42.907494,2025-07-03 18:09:52.163257,0 days 00:00:09.255763,0.910906442406332,4.907864851547041,0.00988688896645918,5,6.1670013408436235,800,0.3159289265463429,0.918643740021651,COMPLETE
43,0.21095739376777586,2025-07-03 18:09:52.174246,2025-07-03 18:10:05.557301,0 days 00:00:13.383055,0.9304688156234824,4.419859884430227,0.0071678454271621225,6,7.4578990775924545,800,0.9906615068974547,0.9116487918609353,COMPLETE
44,0.2112809669775972,2025-07-03 18:10:05.573155,2025-07-03 18:10:22.496713,0 days 00:00:16.923558,0.9097251979226056,4.730072068612278,0.0029632468327537723,5,6.179052647594954,800,0.6776393996462926,0.8260177634103076,COMPLETE
45,0.21119392667984657,2025-07-03 18:10:22.509049,2025-07-03 18:10:39.178336,0 days 00:00:16.669287,0.9536132300314926,3.066484541712817,0.004324257142591411,6,6.790443253602259,700,1.3587009778771992,0.9712349304389818,COMPLETE
46,0.20891503939687825,2025-07-03 18:10:39.189534,2025-07-03 18:10:47.091955,0 days 00:00:07.902421,0.9879615080289313,4.863363697248997,0.011584305999387423,5,5.775728277007623,800,0.28094628580081216,0.8772494598760799,COMPLETE
47,0.21309616071336288,2025-07-03 18:10:47.103028,2025-07-03 18:11:00.316456,0 days 00:00:13.213428,0.8829357862572539,3.30471649697913,0.010671829717717459,10,7.978776950221852,900,1.5784224033660532,0.9462329827156496,COMPLETE
48,0.21133589210268625,2025-07-03 18:11:00.330515,2025-07-03 18:11:07.695174,0 days 00:00:07.364659,0.9338347301550197,3.6018644935041317,0.014695339490989603,7,4.937955741941435,600,0.8070454068860143,0.9045288678263138,COMPLETE
49,0.21253928669835476,2025-07-03 18:11:07.709474,2025-07-03 18:11:25.812607,0 days 00:00:18.103133,0.9063613530282852,3.2654603992890845,0.0069546845220776555,9,6.997473616242656,700,4.626122896471508,0.8536911710597033,COMPLETE
50,0.20890959177076296,2025-07-03 18:11:25.829333,2025-07-03 18:11:31.252337,0 days 00:00:05.423004,0.8578551913974083,3.981903807842897,0.016922936802714134,5,8.525801796810804,800,0.26174690884017326,0.9967970945169615,COMPLETE
51,0.2086093603858031,2025-07-03 18:11:31.266692,2025-07-03 18:11:37.132353,0 days 00:00:05.865661,0.8597881590294663,4.417477292673462,0.015362760354742383,5,8.330833400515672,800,0.29826253108799,0.997134892542437,COMPLETE
52,0.20861160151927985,2025-07-03 18:11:37.145994,2025-07-03 18:11:46.212228,0 days 00:00:09.066234,0.8768616174989782,4.389656753667096,0.009673774273608195,5,9.311443248531578,800,0.4890758132770614,0.9592160436137537,COMPLETE
53,0.21022796506263927,2025-07-03 18:11:46.224788,2025-07-03 18:11:55.631060,0 days 00:00:09.406272,0.7970637918974874,4.433645569083284,0.009023885939041439,6,9.775520791736565,800,0.5258899670765871,0.9296903098767951,COMPLETE
54,0.2135290756622913,2025-07-03 18:11:55.647723,2025-07-03 18:12:18.446622,0 days 00:00:22.798899,0.8848160643313184,4.134751621050263,0.002026738002964577,5,9.016932351145211,1000,0.24817639776619843,0.9631984470726996,COMPLETE
